instnm,city,stabbr,preddeg,region,locale,adm_rate,actcmmid,ugds,costt4_a,costt4_p,tuitionfee_in,tuitionfee_out,debt_mdn,grad_debt_mdn,female
Milan Institute of Cosmetology-Fairfield,Fairfield,CA,Certificate Degree,Far West,City: Midsize,NA,NA,54,NA,17463,NA,NA,7500,9500,0.937214612
Milan Institute of Cosmetology-Reno,Reno,NV,Certificate Degree,Far West,City: Midsize,NA,NA,154,NA,20883,NA,NA,7500,9500,0.937214612
Milan Institute of Cosmetology-Visalia,Visalia,CA,Certificate Degree,Far West,City: Midsize,NA,NA,229,NA,20545,NA,NA,7500,9500,0.937214612
Ottawa University-Online,Ottawa,KS,Bachelor Degree,Plains,Town: Distant,NA,NA,155,NA,NA,NA,NA,12584,21257,0.62745098
Paul Mitchell the School-Esani,Roswell,GA,Certificate Degree,Southeast,City: Small,NA,NA,289,NA,21678,NA,NA,9500,9833,0.955380577
Institute of Production and Recording,Minneapolis,MN,Associate Degree,Plains,City: Large,NA,NA,204,28655,NA,18750,18750,12000,15537,0.207253886
Virginia College-Greenville,Greenville,SC,Certificate Degree,Southeast,City: Small,NA,NA,355,NA,33668,NA,NA,11438,16710,0.780756537
Paul Mitchell the School-Birmingham,Hoover,AL,Certificate Degree,Southeast,City: Small,NA,NA,105,NA,21149,NA,NA,9833,16468,NA
Taft University System,Lakewood,CO,Bachelor Degree,Rocky Mountains,City: Midsize,NA,NA,8,NA,NA,NA,NA,12500,NA,NA
Mayfield College,Cathedral City,CA,Certificate Degree,Far West,Suburb: Large,NA,NA,403,27873,NA,13079,13079,9025,9025,0.657418577
Academy of Esthetics and Cosmetology,San Fernando,CA,Certificate Degree,Far West,Suburb: Large,NA,NA,35,NA,17408,NA,NA,3690.5,3951,0.659090909
Borner's Barber College,Los Angeles,CA,Certificate Degree,Far West,City: Large,NA,NA,34,NA,26330,NA,NA,NA,NA,NA
Paul Mitchell the School-Pasadena,Pasadena,CA,Certificate Degree,Far West,City: Midsize,NA,NA,223,NA,19782,NA,NA,9500,10556,0.951724138
San Francisco Institute of Esthetics & Cosmetology Inc,San Francisco,CA,Certificate Degree,Far West,City: Large,NA,NA,216,NA,29077,NA,NA,6333,10556,0.879858657
Laurus College,San Luis Obispo,CA,Associate Degree,Far West,City: Small,NA,NA,1117,NA,12538,NA,NA,19000,33000,0.546998868
Healing Hands School of Holistic Health,Escondido,CA,Certificate Degree,Far West,Suburb: Large,NA,NA,261,NA,36298,NA,NA,8508,9500,0.783783784
Career Development Institute Inc,Los Angeles,CA,Certificate Degree,Far West,City: Large,NA,NA,84,NA,26301,NA,NA,16873,16873,0.894366197
Auguste Escoffier School of Culinary Arts-Boulder,Boulder,CO,Certificate Degree,Rocky Mountains,City: Midsize,NA,NA,1064,NA,10059,NA,NA,8491.5,9500,0.512195122
Aspen University,Denver,CO,Bachelor Degree,Rocky Mountains,City: Large,NA,NA,3130,NA,NA,4230,4230,7000,12875,0.781021898
Institute of Taoist Education and Acupuncture,Louisville,CO,Entirely Graduate Degree,Rocky Mountains,Suburb: Small,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
National Beauty College,Denver,CO,Certificate Degree,Rocky Mountains,Suburb: Large,NA,NA,53,NA,10303,NA,NA,NA,NA,NA
Denver College of Nursing,Denver,CO,Bachelor Degree,Rocky Mountains,City: Large,NA,NA,796,NA,NA,NA,NA,25730,29305.5,0.856899489
Cambridge College of Healthcare & Technology,Delray Beach,FL,Associate Degree,Southeast,City: Small,NA,NA,164,NA,23991,NA,NA,14250,28500,0.821299639
Cozmo Beauty School,Bonita Springs,FL,Certificate Degree,Southeast,Suburb: Large,NA,NA,40,NA,19189,NA,NA,9500,11717,NA
Orion College,Lauderdale Lakes,FL,Certificate Degree,Southeast,Suburb: Large,NA,NA,136,23074,NA,13680,13680,9500,10958,NA
Professional Hands Institute,Miami,FL,Associate Degree,Southeast,City: Large,NA,NA,105,NA,23540,NA,NA,6073,6073,0.548387097
Celebrity School of Beauty,Miami,FL,Certificate Degree,Southeast,Suburb: Large,NA,NA,342,NA,27730,NA,NA,6223,6281,0.79138322
Paul Mitchell the School-Atlanta,Atlanta,GA,Certificate Degree,Southeast,City: Large,NA,NA,218,NA,21657,NA,NA,9500,13668,0.933638444
Evans Hairstyling College-Rexburg,Rexburg,ID,Certificate Degree,Rocky Mountains,Town: Distant,NA,NA,44,NA,11164,NA,NA,5500,NA,NA
Paul Mitchell the School-Rexburg,Rexburg,ID,Certificate Degree,Rocky Mountains,Town: Distant,NA,NA,132,NA,18573,NA,NA,9500,12000,NA
University of Aesthetics & Cosmetology,Chicago,IL,Certificate Degree,Great Lakes,City: Large,NA,NA,30,NA,16207,NA,NA,7917,NA,NA
The University of Aesthetics & Cosmetology,Downers Grove,IL,Certificate Degree,Great Lakes,Suburb: Large,NA,NA,35,NA,13984,NA,NA,7917,NA,NA
Tricoci University of Beauty Culture-Chicago NW,Chicago,IL,Certificate Degree,Great Lakes,City: Large,NA,NA,206,NA,20468,NA,NA,7307,8937.5,0.901840491
Tricoci University of Beauty Culture-Glendale Heights,Glendale Heights,IL,Certificate Degree,Great Lakes,Suburb: Large,NA,NA,86,NA,20062,NA,NA,9000,9000,0.927419355
Tricoci University of Beauty Culture-Peoria,Peoria,IL,Certificate Degree,Great Lakes,City: Midsize,NA,NA,124,NA,21624,NA,NA,7307,9000,NA
Tricoci University of Beauty Culture-Rockford,Rockford,IL,Certificate Degree,Great Lakes,City: Midsize,NA,NA,191,NA,19708,NA,NA,7307,7307,0.884297521
Frederick School of Cosmetology,Frederick,MD,Certificate Degree,Mid East,City: Small,NA,NA,23,NA,16396,NA,NA,7666,NA,NA
