instnm,city,stabbr,preddeg,region,locale,adm_rate,actcmmid,ugds,costt4_a,costt4_p,tuitionfee_in,tuitionfee_out,debt_mdn,grad_debt_mdn,female
Palmer College of Chiropractic,Davenport,IA,Bachelor Degree,Plains,City: Midsize,NA,NA,41,22230,NA,9096,9096,9114,9375,0.507246377
PCI Academy-Ames,Ames,IA,Certificate Degree,Plains,City: Small,NA,NA,95,NA,15454,NA,NA,6333,8392,NA
Saint Ambrose University,Davenport,IA,Bachelor Degree,Plains,City: Midsize,0.6081,24,2354,42922,NA,30016,30016,20858.5,25500,0.595194085
St Luke's College,Sioux City,IA,Associate Degree,Plains,City: Small,0.2667,NA,274,24978,NA,20440,20440,12000,12180,0.92481203
La James International College-Davenport,Davenport,IA,Certificate Degree,Plains,City: Midsize,NA,NA,80,NA,17644,NA,NA,6647,10999.5,NA
La James International College-Iowa City,Iowa City,IA,Certificate Degree,Plains,City: Small,NA,NA,45,NA,20123,NA,NA,9500,10500,0.86746988
Simpson College,Indianola,IA,Bachelor Degree,Plains,Town: Fringe,0.8386,24,1406,48169,NA,37663,37663,22117,27000,0.552
Southeastern Community College,West Burlington,IA,Associate Degree,Plains,Town: Remote,NA,NA,1676,12159,NA,5400,5550,5500,10500,0.593904448
Southwestern Community College,Creston,IA,Associate Degree,Plains,Town: Remote,NA,NA,879,13130,NA,5664,5888,6357,11250,0.54556962
Capri College-Davenport,Davenport,IA,Certificate Degree,Plains,City: Midsize,NA,NA,128,NA,14325,NA,NA,7374,7600,NA
Iowa School of Beauty-Sioux City,Sioux City,IA,Certificate Degree,Plains,City: Small,NA,NA,43,NA,16112,NA,NA,11856,NA,NA
E Q School of Hair Design,Council Bluffs,IA,Certificate Degree,Plains,City: Small,NA,NA,48,NA,16126,NA,NA,6860,9290,NA
Upper Iowa University,Fayette,IA,Bachelor Degree,Plains,Rural: Remote,0.5558,21,4058,41442,NA,29600,29600,16378,23000,0.677285319
